program_name,attempt_number,provider,model,start_time,end_time,duration_seconds,prompt_summary,llm_output,parsed_rf,check_status,counterexample,tokens_used,empty_output_reason
CookSeeZulegerTACAS2013Fig7b,1,openrouter,openai/gpt-5-mini,2026-03-15T20:50:03.393973,2026-03-15T20:51:30.336179,86.942206,"vars=['x', 'y', 'z', 'a', 'b', 'c', 'd'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(a)+ReLU(-a), ReLU(b)+ReLU(-b), ReLU(x - d)+ReLU(y)+ReLU(z - c)]","[ReLU(a)+ReLU(-a), ReLU(b)+ReLU(-b), ReLU(x - d)+ReLU(y)+ReLU(z - c)]",NO,"{
  ""a"": 1,
  ""b"": 1,
  ""c"": 1,
  ""d"": 2,
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",9478,
CookSeeZulegerTACAS2013Fig7b,2,openrouter,openai/gpt-5-mini,2026-03-15T20:51:34.439755,2026-03-15T20:52:16.428936,41.989181,"vars=['x', 'y', 'z', 'a', 'b', 'c', 'd'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(y), ReLU(z), ReLU(x)]","[ReLU(y), ReLU(z), ReLU(x)]",YES,,5057,
CookSeeZulegerTACAS2013Fig8amodified,1,openrouter,openai/gpt-5-mini,2026-03-15T20:52:20.225014,2026-03-15T20:52:29.135560,8.910546,"vars=['k', 'x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x - k) + ReLU(k - x)],[ReLU(x - k) + ReLU(k - x)],YES,,1964,
CookSeeZulegerTACAS2013Fig8a,1,openrouter,openai/gpt-5-mini,2026-03-15T20:52:32.392989,2026-03-15T20:52:42.512216,10.119227,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x) + ReLU(-x)],[ReLU(x) + ReLU(-x)],YES,,1999,
CookSeeZulegerTACAS2013Fig8b,1,openrouter,openai/gpt-5-mini,2026-03-15T20:52:46.010588,2026-03-15T20:52:57.416945,11.406357,"vars=['x', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x - m), ReLU(m - x)]","[ReLU(x - m), ReLU(m - x)]",YES,,2212,
GopanRepsCAV2006Fig1a,1,openrouter,openai/gpt-5-mini,2026-03-15T20:53:00.745134,2026-03-15T20:53:46.863800,46.118666,"vars=['x', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(51 - 1*x), ReLU(1*y + 1)]","[ReLU(51 - 1*x), ReLU(1*y + 1)]",YES,,4642,
HarrisLalNoriRajamaniSAS2010Fig1,1,openrouter,openai/gpt-5-mini,2026-03-15T20:53:50.274674,2026-03-15T20:54:14.566005,24.291331,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y)]","[ReLU(x), ReLU(y)]",NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 2
}",2986,
HarrisLalNoriRajamaniSAS2010Fig1,2,openrouter,openai/gpt-5-mini,2026-03-15T20:54:18.815441,2026-03-15T20:54:43.814307,24.998866,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y)]","[ReLU(x), ReLU(y)]",NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 2
}",4068,
HarrisLalNoriRajamaniSAS2010Fig1,3,openrouter,openai/gpt-5-mini,2026-03-15T20:54:48.113393,2026-03-15T20:55:39.536373,51.42298,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y)]","[ReLU(x), ReLU(y)]",NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 2
}",4156,
HarrisLalNoriRajamaniSAS2010Fig1,4,openrouter,openai/gpt-5-mini,2026-03-15T20:55:44.630523,2026-03-15T20:56:08.786731,24.156208,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y)]","[ReLU(x), ReLU(y)]",NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 2
}",3946,
HarrisLalNoriRajamaniSAS2010Fig1,5,openrouter,openai/gpt-5-mini,2026-03-15T20:56:13.006159,2026-03-15T20:57:14.093365,61.087206,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), 2*ReLU(y)]","[ReLU(x), 2*ReLU(y)]",NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 2
}",6077,
HarrisLalNoriRajamaniSAS2010Fig1,6,openrouter,openai/gpt-5-mini,2026-03-15T20:57:18.385433,2026-03-15T20:57:40.924282,22.538849,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y)]","[ReLU(x), ReLU(y)]",NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 2
}",3782,
HarrisLalNoriRajamaniSAS2010Fig1,7,openrouter,openai/gpt-5-mini,2026-03-15T20:57:45.321418,2026-03-15T20:58:10.055431,24.734013,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y)]","[ReLU(x), ReLU(y)]",NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 2
}",3962,
HarrisLalNoriRajamaniSAS2010Fig1,8,openrouter,openai/gpt-5-mini,2026-03-15T20:58:14.305949,2026-03-15T20:58:44.332730,30.026781,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y)]","[ReLU(x), ReLU(y)]",NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 2
}",4181,
HarrisLalNoriRajamaniSAS2010Fig1,9,openrouter,openai/gpt-5-mini,2026-03-15T20:58:48.655508,2026-03-15T20:59:26.978597,38.323089,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y-1)]","[ReLU(x), ReLU(y-1)]",NO,"{
  ""a"": 1,
  ""b"": 0,
  ""c"": 1,
  ""x"": 0,
  ""y"": 0,
  ""k"": 0
}",4845,
HarrisLalNoriRajamaniSAS2010Fig1,10,openrouter,openai/gpt-5-mini,2026-03-15T20:59:30.936618,2026-03-15T20:59:50.810901,19.874283,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y)]","[ReLU(x), ReLU(y)]",NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 2
}",3667,
HarrisLalNoriRajamaniSAS2010Fig3,1,openrouter,openai/gpt-5-mini,2026-03-15T20:59:55.251370,2026-03-15T21:00:05.272895,10.021525,"vars=['x', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x)],[ReLU(x)],YES,,1879,
HeizmannHoenickeLeikePodelskiATVA2013Fig1,1,openrouter,openai/gpt-5-mini,2026-03-15T21:00:08.710795,2026-03-15T21:00:35.356779,26.645984,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(24 - y), ReLU(x)]","[ReLU(24 - y), ReLU(x)]",YES,,3198,
HeizmannHoenickeLeikePodelskiATVA2013Fig4,1,openrouter,openai/gpt-5-mini,2026-03-15T21:00:38.638321,2026-03-15T21:00:58.219981,19.58166,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x - 23), ReLU(x - 22)]","[ReLU(x - 23), ReLU(x - 22)]",YES,,2537,
HeizmannHoenickeLeikePodelskiATVA2013Fig5,1,openrouter,openai/gpt-5-mini,2026-03-15T21:01:01.895002,2026-03-15T21:01:23.237059,21.342057,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x+1)],[ReLU(x+1)],YES,,2930,
HeizmannHoenickeLeikePodelskiATVA2013Fig6,1,openrouter,openai/gpt-5-mini,2026-03-15T21:01:26.489906,2026-03-15T21:01:44.089770,17.599864,"vars=['x', 'y', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x + 1)],[ReLU(x + 1)],YES,,2590,
KroeningSharyginaTsitovichWintersteigerCAV2010Ex,1,openrouter,openai/gpt-5-mini,2026-03-15T21:01:47.620621,2026-03-15T21:01:59.688171,12.06755,"vars=['i', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(255 - i)],[ReLU(255 - i)],YES,,2076,
KroeningSharyginaTsitovichWintersteigerCAV2010Fig1,1,openrouter,openai/gpt-5-mini,2026-03-15T21:02:02.901588,2026-03-15T21:03:23.394079,80.492491,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",NO_RELU_SOLUTION,,NO_RELU_SOLUTION,,6975,
LarrazOliverasRodriguezCarbonellRubioFMCAD2013Fig1,1,openrouter,openai/gpt-5-mini,2026-03-15T21:03:23.418702,2026-03-15T21:04:15.652526,52.233824,"vars=['x', 'y', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x + z + 20001)],[ReLU(x + z + 20001)],NO,"{
  ""x"": 1,
  ""y"": 10001,
  ""z"": 2
}",4944,
LarrazOliverasRodriguezCarbonellRubioFMCAD2013Fig1,2,openrouter,openai/gpt-5-mini,2026-03-15T21:04:19.491173,2026-03-15T21:05:20.623018,61.131845,"vars=['x', 'y', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(z), 20001*ReLU(x+1) + ReLU(y)]","[ReLU(z), 20001*ReLU(x+1) + ReLU(y)]",NO,"{
  ""x"": 20002,
  ""y"": 1,
  ""z"": 0
}",6298,
LarrazOliverasRodriguezCarbonellRubioFMCAD2013Fig1,3,openrouter,openai/gpt-5-mini,2026-03-15T21:05:24.606669,2026-03-15T21:06:08.131546,43.524877,"vars=['x', 'y', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x + z + 20001)],[ReLU(x + z + 20001)],NO,"{
  ""x"": 1,
  ""y"": 10001,
  ""z"": 2
}",4920,
LarrazOliverasRodriguezCarbonellRubioFMCAD2013Fig1,4,openrouter,openai/gpt-5-mini,2026-03-15T21:06:11.740842,2026-03-15T21:07:13.760030,62.019188,"vars=['x', 'y', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + z), ReLU(z - 1)]","[ReLU(x + z), ReLU(z - 1)]",YES,,6196,
LeikeHeizmannTACAS2014Ex1,1,openrouter,openai/gpt-5-mini,2026-03-15T21:07:17.547495,2026-03-15T21:07:29.411111,11.863616,"vars=['q', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(q)],[ReLU(q)],YES,,2102,
LeikeHeizmannTACAS2014Ex9,1,openrouter,openai/gpt-5-mini,2026-03-15T21:07:32.883995,2026-03-15T21:07:47.512016,14.628021,"vars=['p', 'q'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(p + q)],[ReLU(p + q)],YES,,2504,
LeikeHeizmannWST2014Ex9,1,openrouter,openai/gpt-5-mini,2026-03-15T21:07:51.019456,2026-03-15T21:07:59.751345,8.731889,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x)],[ReLU(x)],YES,,1779,
PodelskiRybalchenkoLICS2004Fig1,1,openrouter,openai/gpt-5-mini,2026-03-15T21:08:03.254524,2026-03-15T21:08:38.670546,35.416022,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(x - y)]","[ReLU(x), ReLU(x - y)]",YES,,3822,
PodelskiRybalchenkoTACAS2011Fig1,1,openrouter,openai/gpt-5-mini,2026-03-15T21:08:43.625819,2026-03-15T21:08:52.817911,9.192092,"vars=['y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(y + 1)],[ReLU(y + 1)],YES,,1902,
PodelskiRybalchenkoTACAS2011Fig2,1,openrouter,openai/gpt-5-mini,2026-03-15T21:08:56.105327,2026-03-15T21:09:24.409570,28.304243,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(x - y)]","[ReLU(x + 1), ReLU(x - y)]",YES,,3046,
PodelskiRybalchenkoTACAS2011Fig4,1,openrouter,openai/gpt-5-mini,2026-03-15T21:09:28.203042,2026-03-15T21:09:44.452998,16.249956,"vars=['x', 'y', 'a', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y)]","[ReLU(x), ReLU(y)]",YES,,2239,
UrbanWST2013Fig2modified1000,1,openrouter,openai/gpt-5-mini,2026-03-15T21:09:49.730398,2026-03-15T21:10:03.738546,14.008148,"vars=['x', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(11 - x)],[ReLU(11 - x)],NO,"{
  ""x"": 0,
  ""y"": 0
}",2065,
UrbanWST2013Fig2modified1000,2,openrouter,openai/gpt-5-mini,2026-03-15T21:10:07.561095,2026-03-15T21:10:47.903742,40.342647,"vars=['x', 'y'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(11 - x), ReLU(y - 1)]","[ReLU(11 - x), ReLU(y - 1)]",YES,,3953,
UrbanWST2013Fig2,1,openrouter,openai/gpt-5-mini,2026-03-15T21:10:52.106624,2026-03-15T21:11:17.022047,24.915423,"vars=['x', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(-1*x + 10), ReLU(1*y + -1)]","[ReLU(-1*x + 10), ReLU(1*y + -1)]",YES,,3189,
UrbanMineESOP2014Fig3,1,openrouter,openai/gpt-5-mini,2026-03-15T21:11:20.858668,2026-03-15T21:13:13.192331,112.333663,"vars=['x', 'y', 'a', 'b', 'c', 'd'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(-x)+ReLU(y)]","[ReLU(x), ReLU(-x)+ReLU(y)]",NO,"{
  ""a"": 1,
  ""b"": 0,
  ""c"": 0,
  ""d"": 1,
  ""x"": 0,
  ""y"": 0
}",9687,
UrbanMineESOP2014Fig3,2,openrouter,openai/gpt-5-mini,2026-03-15T21:13:16.954368,2026-03-15T21:14:05.557258,48.60289,"vars=['x', 'y', 'a', 'b', 'c', 'd'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(-1*x), ReLU(x), ReLU(y)]","[ReLU(-1*x), ReLU(x), ReLU(y)]",YES,,5908,
aviad,1,openrouter,openai/gpt-5-mini,2026-03-15T21:14:10.527674,2026-03-15T21:14:18.625148,8.097474,"vars=['a', 'c'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(a - 1)],[ReLU(a - 1)],YES,,2005,
genady,1,openrouter,openai/gpt-5-mini,2026-03-15T21:14:22.400257,2026-03-15T21:14:41.205672,18.805415,"vars=['i'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(i)],[ReLU(i)],YES,,2704,
B2Nested1,1,openrouter,openai/gpt-5-mini,2026-03-15T21:14:44.567270,2026-03-15T21:15:45.210238,60.642968,"vars=['x', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(y + 2), ReLU(-y - 1)]","[ReLU(y + 2), ReLU(-y - 1)]",YES,,5467,
B4BitCounterPointer,1,openrouter,openai/gpt-5-mini,2026-03-15T21:15:48.500535,2026-03-15T21:16:40.843401,52.342866,"vars=['x', 'y', 'b', 'c', 'd'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(1 - d), ReLU(7 - 1*a - 2*b - 4*c)]","[ReLU(1 - d), ReLU(7 - 1*a - 2*b - 4*c)]",NO,"{
  ""x"": 0,
  ""y"": 0
}",5174,
B4BitCounterPointer,2,openrouter,openai/gpt-5-mini,2026-03-15T21:16:44.397155,2026-03-15T21:17:18.197111,33.799956,"vars=['x', 'y', 'b', 'c', 'd'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(1 - d), ReLU(7 - (a + 2*b + 4*c))]","[ReLU(1 - d), ReLU(7 - (a + 2*b + 4*c))]",NO,"{
  ""x"": 0,
  ""y"": 0
}",4145,
B4BitCounterPointer,3,openrouter,openai/gpt-5-mini,2026-03-15T21:17:21.719334,2026-03-15T21:17:49.099114,27.37978,"vars=['x', 'y', 'b', 'c', 'd'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(1 - d), ReLU(7 - 4*c - 2*b - a)]","[ReLU(1 - d), ReLU(7 - 4*c - 2*b - a)]",NO,"{
  ""x"": 0,
  ""y"": 0
}",4228,
B4BitCounterPointer,4,openrouter,openai/gpt-5-mini,2026-03-15T21:17:52.514123,2026-03-15T21:18:13.562797,21.048674,"vars=['x', 'y', 'b', 'c', 'd'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(7 - 4*c - 2*b - 1*a)],[ReLU(7 - 4*c - 2*b - 1*a)],NO,"{
  ""x"": 0,
  ""y"": 0
}",3719,
B4BitCounterPointer,5,openrouter,openai/gpt-5-mini,2026-03-15T21:18:16.923954,2026-03-15T21:18:45.201093,28.277139,"vars=['x', 'y', 'b', 'c', 'd'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(8 - a - 2*b - 4*c - 8*d)],[ReLU(8 - a - 2*b - 4*c - 8*d)],NO,"{
  ""x"": 0,
  ""y"": 0
}",3584,
B4BitCounterPointer,6,openrouter,openai/gpt-5-mini,2026-03-15T21:18:48.600299,2026-03-15T21:19:06.400509,17.80021,"vars=['x', 'y', 'b', 'c', 'd'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(7 - a - 2*b - 4*c)],[ReLU(7 - a - 2*b - 4*c)],NO,"{
  ""x"": 0,
  ""y"": 0
}",3021,
B4BitCounterPointer,7,openrouter,openai/gpt-5-mini,2026-03-15T21:19:09.939634,2026-03-15T21:19:22.394439,12.454805,"vars=['x', 'y', 'b', 'c', 'd'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(7 - a - 2*b - 4*c)],[ReLU(7 - a - 2*b - 4*c)],NO,"{
  ""x"": 0,
  ""y"": 0
}",2779,
B4BitCounterPointer,8,openrouter,openai/gpt-5-mini,2026-03-15T21:19:25.842984,2026-03-15T21:19:46.423788,20.580804,"vars=['x', 'y', 'b', 'c', 'd'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(8 - a - 2*b - 4*c - 8*d)],[ReLU(8 - a - 2*b - 4*c - 8*d)],NO,"{
  ""x"": 0,
  ""y"": 0
}",3187,
B4BitCounterPointer,9,openrouter,openai/gpt-5-mini,2026-03-15T21:19:49.870060,2026-03-15T21:20:13.703074,23.833014,"vars=['x', 'y', 'b', 'c', 'd'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(8 - a - 2*b - 4*c - 8*d)],[ReLU(8 - a - 2*b - 4*c - 8*d)],NO,"{
  ""x"": 0,
  ""y"": 0
}",3578,
B4BitCounterPointer,10,openrouter,openai/gpt-5-mini,2026-03-15T21:20:17.275733,2026-03-15T21:20:46.727089,29.451356,"vars=['x', 'y', 'b', 'c', 'd'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(16 + -1*a + -2*b + -4*c + -8*d)],[ReLU(16 + -1*a + -2*b + -4*c + -8*d)],NO,"{
  ""x"": 0,
  ""y"": 0
}",3700,
B4NestedWith3Variables1,1,openrouter,openai/gpt-5-mini,2026-03-15T21:20:50.237227,2026-03-15T21:21:43.595122,53.357895,"vars=['q', 'a', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(10*q -1*a -2*b + 1572852)],[ReLU(10*q -1*a -2*b + 1572852)],NO,"{
  ""q"": 1,
  ""a"": 629148,
  ""b"": 471861
}",5342,
B4NestedWith3Variables1,2,openrouter,openai/gpt-5-mini,2026-03-15T21:21:48.745618,2026-03-15T21:22:53.078095,64.332477,"vars=['q', 'a', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(10*q - a - 2*b + 1572862)],[ReLU(10*q - a - 2*b + 1572862)],NO,"{
  ""q"": 1,
  ""a"": 629152,
  ""b"": 471864
}",7097,
B4NestedWith3Variables1,3,openrouter,openai/gpt-5-mini,2026-03-15T21:22:56.860288,2026-03-15T21:23:26.485292,29.625004,"vars=['q', 'a', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(-1*a+1), ReLU(1*q+0), ReLU(-1*b+1)]","[ReLU(-1*a+1), ReLU(1*q+0), ReLU(-1*b+1)]",NO,"{
  ""q"": 1,
  ""a"": 4,
  ""b"": 3
}",3782,
B4NestedWith3Variables1,4,openrouter,openai/gpt-5-mini,2026-03-15T21:23:30.218244,2026-03-15T21:24:24.994991,54.776747,"vars=['q', 'a', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(q + a - b), ReLU(q - 7*b - 1), ReLU(q - 27*a - 21*b - 2)]","[ReLU(q + a - b), ReLU(q - 7*b - 1), ReLU(q - 27*a - 21*b - 2)]",NO,"{
  ""q"": 0,
  ""a"": 0,
  ""b"": 0
}",5833,
B4NestedWith3Variables1,5,openrouter,openai/gpt-5-mini,2026-03-15T21:24:28.391371,2026-03-15T21:25:24.298792,55.907421,"vars=['q', 'a', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(10*q - a - 2*b + 1)],[ReLU(10*q - a - 2*b + 1)],NO,"{
  ""q"": 1,
  ""a"": 8,
  ""b"": 6
}",6546,
B4NestedWith3Variables1,6,openrouter,openai/gpt-5-mini,2026-03-15T21:25:27.656627,2026-03-15T21:26:49.828431,82.171804,"vars=['q', 'a', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(q - b), ReLU(a - b)]","[ReLU(q - b), ReLU(a - b)]",YES,,8254,
Bangalore2,1,openrouter,openai/gpt-5-mini,2026-03-15T21:26:53.326100,2026-03-15T21:27:09.808900,16.4828,"vars=['x', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x + 1)],[ReLU(x + 1)],YES,,2408,
Bangalorev4,1,openrouter,openai/gpt-5-mini,2026-03-15T21:27:14.497750,2026-03-15T21:27:39.089555,24.591805,"vars=['x', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x + 1)],[ReLU(x + 1)],YES,,3457,
Benghazi,1,openrouter,openai/gpt-5-mini,2026-03-15T21:27:42.452818,2026-03-15T21:28:05.633601,23.180783,"vars=['x', 'e', 'o'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x + 1)],[ReLU(x + 1)],NO,"{
  ""x"": 0
}",2978,
Benghazi,2,openrouter,openai/gpt-5-mini,2026-03-15T21:28:09.072484,2026-03-15T21:28:26.152444,17.07996,"vars=['x', 'e', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x + 1)],[ReLU(x + 1)],NO,"{
  ""x"": 0
}",3032,
Benghazi,3,openrouter,openai/gpt-5-mini,2026-03-15T21:28:29.533935,2026-03-15T21:28:50.168821,20.634886,"vars=['x', 'e', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x + 1)],[ReLU(x + 1)],NO,"{
  ""x"": 0
}",3465,
Benghazi,4,openrouter,openai/gpt-5-mini,2026-03-15T21:28:53.639958,2026-03-15T21:29:48.931638,55.29168,"vars=['x', 'e', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(x + e + o + 1)]","[ReLU(x), ReLU(x + e + o + 1)]",NO,"{
  ""x"": 0
}",7239,
Benghazi,5,openrouter,openai/gpt-5-mini,2026-03-15T21:29:52.633668,2026-03-15T21:30:10.453215,17.819547,"vars=['x', 'e', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x + 73)],[ReLU(x + 73)],NO,"{
  ""x"": 0
}",3553,
Benghazi,6,openrouter,openai/gpt-5-mini,2026-03-15T21:30:13.839723,2026-03-15T21:30:48.046747,34.207024,"vars=['x', 'e', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x+1)],[ReLU(x+1)],NO,"{
  ""x"": 0
}",5107,
Benghazi,7,openrouter,openai/gpt-5-mini,2026-03-15T21:30:51.398517,2026-03-15T21:31:10.183267,18.78475,"vars=['x', 'e', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x+1)],[ReLU(x+1)],NO,"{
  ""x"": 0
}",3528,
Benghazi,8,openrouter,openai/gpt-5-mini,2026-03-15T21:31:13.550243,2026-03-15T21:31:40.254382,26.704139,"vars=['x', 'e', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x + 1)],[ReLU(x + 1)],NO,"{
  ""x"": 0
}",3885,
Benghazi,9,openrouter,openai/gpt-5-mini,2026-03-15T21:31:43.625265,2026-03-15T21:32:05.113834,21.488569,"vars=['x', 'e', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x + 72)],[ReLU(x + 72)],NO,"{
  ""x"": 0
}",3803,
Benghazi,10,openrouter,openai/gpt-5-mini,2026-03-15T21:32:08.568416,2026-03-15T21:32:28.089369,19.520953,"vars=['x', 'e', 'o'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x+1)],[ReLU(x+1)],NO,"{
  ""x"": 0
}",3689,
Benghazinondet2,1,openrouter,openai/gpt-5-mini,2026-03-15T21:32:31.515712,2026-03-15T21:33:35.917476,64.401764,"vars=['x', 'd', 'e'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(2097150 - d - e), ReLU(x)]","[ReLU(2097150 - d - e), ReLU(x)]",NO,"{
  ""d"": 0,
  ""e"": 2097151,
  ""x"": 0
}",6536,
Benghazinondet2,2,openrouter,openai/gpt-5-mini,2026-03-15T21:33:39.302239,2026-03-15T21:35:19.434925,100.132686,"vars=['x', 'd', 'e'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(2*x - d - e)],[ReLU(2*x - d - e)],NO,"{
  ""d"": 0,
  ""e"": 0,
  ""x"": 0
}",11585,
Benghazinondet2,3,openrouter,openai/gpt-5-mini,2026-03-15T21:35:22.756392,2026-03-15T21:36:00.828836,38.072444,"vars=['x', 'd', 'e'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(1 - d)]","[ReLU(x), ReLU(1 - d)]",NO,"{
  ""d"": 0,
  ""e"": 0,
  ""x"": 0
}",5652,
