caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message
Ps2botht#loop,"[ ReLU(k + 1 - c), ReLU(k + 1 - y) ]",COMPLETED,NOT_PROVED,NO,"{
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
Ps3botht#loop,"[ ReLU(c + 6 * x - 2 * y * y * y - 3 * y * y - y - k + 1), ReLU(y - 1), ReLU(x - y * y - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Ps4botht#loop,"[ ReLU(k + 4 * x - y * y * y * y - 2 * y * y * y - y * y + 1), ReLU(c + 1), ReLU(y + 1), ReLU(y * y * y + x) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Ps5botht#loop,"[ ReLU(c + 6 * ReLU(y * y * y * y + y * y * y * y + y * y * y - 30 * x - y + 15 * y * y * y * y + 10 * y * y * y - 15 * y * y * y * y - 6 * y + 15 * y * y * y * y + 10 * y * y * y - 30 * x - y + 1), ReLU(y * y * y * y + y * y * y * y + y * y * y - 30 * x - y + 15 * y * y * y * y + 10 * y * y * y - 15 * y * y * y * y - 6 * y + 15 * y * y * y * y + 10 * y * y * y - 30 * x - y + 1) ]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Ps6botht#loop,"[ ReLU(c + 1), ReLU(y + 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
Sqrt1botht#loop,"[ ReLU(n - 1), ReLU(k - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""s"": 1,
  ""c"": 0,
  ""t"": 1,
  ""k"": 4,
  ""n"": 7
}",Checker completed: candidate function could not prove termination.
Binomial#loop,"[ ReLU(x - 1), ReLU(y - 1), ReLU(n - 1), ReLU(k - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 8,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
Parts#loop,"[ ReLU(x - 1), ReLU(y - 1), ReLU(m - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
javaLogBuiltIn#loop,[ ReLU(x - 1) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
reccounter1#loop,"[ ReLU(a - 1), ReLU(rc - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1
}",Checker completed: candidate function could not prove termination.
reccounter3#loop,"[ ReLU(a - 1), ReLU(r - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1
}",Checker completed: candidate function could not prove termination.
DivMinus#loop,"[ ReLU(x - y), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
DivMinus2#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
GCD3#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""t"": 0,
  ""x"": 0,
  ""y"": 0,
  ""x1"": 0
}",Checker completed: candidate function could not prove termination.
GCD4#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""t"": 0,
  ""x"": 0,
  ""y"": 0,
  ""x1"": 0
}",Checker completed: candidate function could not prove termination.
IntPath#loop,"[ ReLU(i - 11), ReLU(x - y) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Log#loop,"[ ReLU(x - 1), ReLU(x1 - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
LogAG#loop,"[ ReLU(x - 2), ReLU(x1 - 2) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 2
}",Checker completed: candidate function could not prove termination.
McCarthyIterative#loop,"[ ReLU(x - 100), ReLU(c - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
MinusBuiltIn#loop,"[ ReLU(x - 2147483647), ReLU(y - x) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
MinusUserDefined#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
Nested2#loop,"[ ReLU(i - 10), ReLU(j - 12) ]",COMPLETED,NOT_PROVED,NO,,Checker completed: candidate function could not prove termination.
PastaA1#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
PastaA10#loop,[ ReLU(x - y) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
PastaA4#loop,[ ReLU(x - y) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaA7#loop,"[ ReLU(x - y), ReLU(x - z) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaB1#loop,"[ ReLU(x - 1), ReLU(y) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
PastaB14#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
PastaB15#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
PastaB16#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
PastaB17#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
PastaB2#loop,"[ ReLU(x - 1), ReLU(y + 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaB4#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaB6#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
PastaB7#loop,"[ ReLU(x - z), ReLU(y - z) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaC3#loop,"[ ReLU(x - y), ReLU(z - y) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 2,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
PastaC7#loop,"[ ReLU(i - 101), ReLU(j - 1), ReLU(k - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
PastaC9#loop,"[ ReLU(x - 1), ReLU(y - 1), ReLU(r - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""r"": 0,
  ""x"": 0,
  ""y"": 0,
  ""r1"": 42
}",Checker completed: candidate function could not prove termination.
Sequence#loop,"[ ReLU(i - 100), ReLU(j - 21) ]",COMPLETED,NOT_PROVED,NO,,Checker completed: candidate function could not prove termination.
WhileDecr#loop,[ ReLU(i - 6) ],COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0
}",Checker completed: candidate function could not prove termination.
a01#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
a04#loop,[ ReLU(x - y) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
a05#loop,"[ ReLU(x - y - 1), ReLU(y + 1 - 2147483647) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 2147483645,
  ""y"": 2147483644
}",Checker completed: candidate function could not prove termination.
a06#loop,"[ ReLU(x - y - z), ReLU(y + 1 - 0), ReLU(z + 1 - 0) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
a07#loop,"[ ReLU(x - y), ReLU(x - z) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
a08#loop,"[ ReLU(x - 2147483647), ReLU(y - 0) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
a09assume#loop,"[ ReLU(x - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 1,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
a10#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
b01#loop,"[ ReLU(x - 1), ReLU(y + 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
b02#loop,[ ReLU(x - y) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b03noinvassume#loop,"[ ReLU(x - 1), ReLU(y - x - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
b03assume#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 2,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
b04#loop,"[ ReLU(x - y), ReLU(t - y) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b05#loop,"[ ReLU(x - 1), ReLU(t - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b06#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
b07#loop,"[ ReLU(x - z + 1), ReLU(y - z + 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b09noinvassume#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
b09assume#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
b10#loop,"[ ReLU(x), ReLU(y) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b11#loop,"[ ReLU(x + y), ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b12#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
b13#loop,"[ ReLU(x - z + 1), ReLU(y - z + 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b14#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
b15#loop,"[ ReLU(x - z + 1), ReLU(y - z + 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b16#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
b17#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
b18#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
c01noinv#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 2,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
c01assume#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
c02#loop,"[ ReLU(x - 2147483647), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
c03#loop,"[ ReLU(x - 1), ReLU(z - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 2,
  ""y"": 3,
  ""z"": 3
}",Checker completed: candidate function could not prove termination.
c07#loop,"[ ReLU(i - 101), ReLU(j - 1), ReLU(k + 2147483648) ]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
c08#loop,"[ ReLU(i - 1), ReLU(j - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""i"": 1,
  ""j"": 0
}",Checker completed: candidate function could not prove termination.
ex3a#loop,"[ ReLU(x - 100), ReLU(1 - x) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
ex3b#loop,"[ ReLU(x - 1), ReLU(y - 4635) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 33560
}",Checker completed: candidate function could not prove termination.
javaAG313#loop,"[ ReLU(i + 1), ReLU(x + y) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
javaBreak#loop,[ ReLU(i - 11) ],COMPLETED,NOT_PROVED,NO,,Checker completed: candidate function could not prove termination.
javaContinue1#loop,"[ ReLU(i - 20), ReLU(c - 10) ]",COMPLETED,NOT_PROVED,NO,,Checker completed: candidate function could not prove termination.
javaNested#loop,"[ ReLU(i - 10), ReLU(j - 12) ]",COMPLETED,NOT_PROVED,NO,,Checker completed: candidate function could not prove termination.
